subject,organ,accept,dice,iou,tp,fp,fn,pred_vox,gt_vox,status,num_voxels,volume_mm3,is_empty,centroid_x_rel,centroid_y_rel,centroid_z_rel,bbox_x_rel,bbox_y_rel,bbox_z_rel,bbox_volume_mm3,mask_to_bbox_ratio,num_components,largest_component_fraction,touches_boundary,boundary_fraction,mean_HU,median_HU,std_HU,p05_HU,p95_HU,orig_axcodes,family,vol_err,vol_bad,iou_reject
s0006,autochthon_right,0,0.9375,0.8824,3068,336,73,3404,3141,ok,3404,119671.88,0,0.4923,0.1235,0.4207,0.0938,0.3077,0.375,324000.0,0.3694,1,1.0,1,0.1927,126.65,123.0,31.98,82.0,187.0,RAS,muscle,0.08373129576567973,0,1
s0006,colon,0,0.7709,0.6272,5790,1496,1946,7286,7736,ok,7286,256148.44,0,0.3891,0.5674,0.3437,0.5078,0.7692,0.6367,7449609.5,0.0344,9,0.2676,1,0.042,75.35,75.0,49.12,11.0,170.0,RAS,digestive,0.05816959669079628,0,1
s0006,duodenum,0,0.8269,0.7049,1113,148,318,1261,1431,ok,1261,44332.03,0,0.5572,0.8743,0.3853,0.1289,0.2308,0.1797,160101.56,0.2769,1,1.0,1,0.4489,107.58,102.0,48.63,45.0,201.0,RAS,digestive,0.1187980433263452,1,1
s0006,esophagus,0,0.786,0.6474,101,39,16,140,117,ok,140,4921.88,0,0.408,0.4478,0.6677,0.0312,0.2308,0.0898,19406.25,0.2536,1,1.0,0,0.0,90.27,81.5,43.77,24.85,158.0,RAS,digestive,0.19658119658119658,1,1
s0006,femur_left,0,0.8697,0.7695,227,68,0,295,227,ok,295,10371.09,0,0.3105,0.6316,0.024,0.0781,0.2308,0.0508,27421.88,0.3782,1,1.0,1,0.0,28.66,29.0,5.91,17.0,37.0,RAS,pelvic_bone,0.29955947136563876,1,1
s0006,femur_right,0,0.9448,0.8954,548,31,33,579,581,ok,579,20355.47,0,0.6456,0.5941,0.0416,0.0898,0.2308,0.0742,46089.84,0.4416,1,1.0,1,0.0,43.54,45.0,8.67,28.0,56.0,RAS,pelvic_bone,0.0034423407917383822,0,1
s0006,gallbladder,0,0.8567,0.7493,275,53,39,328,314,ok,328,11531.25,0,0.5983,0.8813,0.4869,0.0742,0.1538,0.0781,26718.75,0.4316,1,1.0,1,0.4573,393.65,389.5,156.69,142.7,617.0,RAS,solid_abdominal,0.044585987261146494,0,1
s0006,heart,0,0.893,0.8067,5977,517,915,6494,6892,ok,6494,228304.69,0,0.4154,0.7093,0.7455,0.207,0.5385,0.2031,678234.38,0.3366,2,0.9937,1,0.0762,68.29,59.0,43.76,17.0,154.0,RAS,heart,0.05774811375507835,0,1
s0006,hip_left,0,0.8772,0.7812,1928,335,205,2263,2133,ok,2263,79558.59,0,0.302,0.4654,0.1339,0.1172,0.7692,0.2461,664453.12,0.1197,1,1.0,1,0.0,42.95,39.0,15.8,26.0,77.0,RAS,pelvic_bone,0.06094702297233943,0,1
s0006,hip_right,0,0.8894,0.8008,2155,378,158,2533,2313,ok,2533,89050.78,0,0.6051,0.4426,0.1666,0.1484,0.7692,0.3086,1055390.62,0.0844,2,0.9992,1,0.0,68.16,59.0,29.08,35.0,134.0,RAS,pelvic_bone,0.09511456982274102,0,1
s0006,humerus_left,0,0.7235,0.5668,208,138,21,346,229,ok,346,12164.06,0,0.0268,0.4164,0.8857,0.043,0.3846,0.1719,85078.12,0.143,1,1.0,1,0.0,46.31,46.0,9.01,32.0,61.75,RAS,shoulder_bone,0.5109170305676856,1,1
s0006,humerus_right,0,0.8215,0.6971,504,90,129,594,633,ok,594,20882.81,0,0.8934,0.2327,0.7887,0.1445,0.4615,0.2461,491695.31,0.0425,2,0.9949,1,0.0219,107.71,106.0,29.64,63.0,162.0,RAS,shoulder_bone,0.061611374407582936,0,1
s0006,iliopsoas_left,0,0.9284,0.8664,2387,212,156,2599,2543,ok,2599,91371.09,0,0.3357,0.5778,0.2466,0.125,0.5385,0.3867,779625.0,0.1172,1,1.0,1,0.0,50.47,48.0,28.78,13.0,102.0,RAS,muscle,0.02202123476209202,0,1
s0006,iliopsoas_right,0,0.9136,0.8409,2659,102,401,2761,3060,ok,2761,97066.41,0,0.565,0.6113,0.2356,0.1953,0.5385,0.4219,1328906.25,0.073,2,0.9957,1,0.0,47.28,41.0,26.03,14.0,96.0,RAS,muscle,0.0977124183006536,0,1
s0006,intervertebral_discs,0,0.9106,0.8358,2439,251,228,2690,2667,ok,2690,94570.31,0,0.4234,0.3883,0.5405,0.1172,0.5385,0.6758,1277226.5,0.074,14,0.1569,1,0.0,68.75,65.0,28.2,30.45,121.0,RAS,vertebrae,0.00862392200974878,0,1
s0006,kidney_left,0,0.8849,0.7936,4675,325,891,5000,5566,ok,5000,175781.25,0,0.303,0.361,0.4506,0.1289,0.4615,0.2109,375890.62,0.4676,1,1.0,1,0.0,183.73,181.0,43.58,120.0,248.0,RAS,urinary,0.10168882500898312,1,1
s0006,kidney_right,0,0.8481,0.7362,2060,135,603,2195,2663,ok,2195,77167.97,0,0.5608,0.4135,0.4241,0.1172,0.4615,0.1523,246796.88,0.3127,1,1.0,0,0.0,175.68,177.0,35.0,114.0,230.3,RAS,urinary,0.17574164476154713,1,1
s0006,liver,0,0.9351,0.8781,17736,636,1826,18372,19562,ok,18372,645890.62,0,0.59,0.6207,0.5884,0.2891,0.7692,0.2812,1873125.0,0.3448,1,1.0,1,0.0881,88.09,83.0,26.45,55.0,134.0,RAS,solid_abdominal,0.06083222574378898,0,1
s0006,lung_left,1,0.9573,0.9181,37097,1002,2308,38099,39405,ok,38099,1339418.0,0,0.2876,0.4712,0.7984,0.2656,1.0,0.4141,3294281.25,0.4066,1,1.0,1,0.0938,15.78,12.0,13.45,3.0,41.0,RAS,lung,0.03314300215708666,0,0
s0006,lung_right,1,0.9611,0.9251,40130,1068,2181,41198,42311,ok,41198,1448367.25,0,0.5615,0.44,0.7916,0.2578,1.0,0.457,3529195.25,0.4104,1,1.0,1,0.078,18.57,16.0,12.78,4.0,44.0,RAS,lung,0.02630521613764742,0,0
s0006,sacrum,0,0.9092,0.8334,2612,341,181,2953,2793,ok,2953,103816.41,0,0.4498,0.3267,0.2051,0.2422,0.3846,0.1328,370546.88,0.2802,1,1.0,1,0.0,83.49,79.0,21.94,54.0,126.0,RAS,pelvic_bone,0.05728607232366631,0,1
s0006,small_bowel,0,0.5864,0.4148,3047,1846,2453,4893,5500,ok,4893,172019.53,0,0.3755,0.7909,0.3039,0.418,0.4615,0.4023,2324742.25,0.074,9,0.6597,1,0.1668,143.04,146.0,58.15,58.0,240.0,RAS,digestive,0.11036363636363636,1,1
s0006,spinal_cord,0,0.8683,0.7673,1810,379,170,2189,1980,ok,2189,76957.03,0,0.4281,0.214,0.5539,0.0547,0.5385,0.7266,640828.12,0.1201,1,1.0,1,0.1019,259.89,248.0,99.91,111.0,437.0,RAS,neuro,0.10555555555555556,1,1
s0006,spleen,0,0.6683,0.5019,406,249,154,655,560,ok,655,23027.34,0,0.2831,0.1594,0.5644,0.1406,0.2308,0.0898,87328.12,0.2637,3,0.9206,1,0.0,217.03,208.0,34.16,182.7,301.0,RAS,solid_abdominal,0.16964285714285715,1,1
s0006,stomach,0,0.8552,0.747,5504,796,1068,6300,6572,ok,6300,221484.38,0,0.3453,0.6574,0.585,0.332,0.7692,0.2305,1763086.0,0.1256,1,1.0,1,0.1802,332.04,346.5,88.74,165.0,462.0,RAS,digestive,0.041387705416920266,0,1
s0006,urinary_bladder,0,0.8411,0.7258,90,14,20,104,110,ok,104,3656.25,0,0.46,0.6923,0.0534,0.0703,0.0769,0.0312,5062.5,0.7222,1,1.0,0,0.0,57.34,58.0,6.66,41.0,66.85,RAS,urinary,0.05454545454545454,0,1
s0006,vertebrae,0,0.9159,0.8448,5564,523,499,6087,6063,ok,6087,213996.09,0,0.425,0.3706,0.5648,0.1172,0.6154,0.7422,1603125.0,0.1335,15,0.125,1,0.0,145.06,149.0,44.05,62.0,212.0,RAS,vertebrae,0.0039584364176150424,0,1
s0307,autochthon_left,0,0.8529,0.7435,2971,906,119,3877,3090,ok,3877,136300.78,0,0.4635,0.1325,0.3834,0.1016,0.2941,0.4336,507304.69,0.2687,1,1.0,1,0.0469,214.2,212.0,55.71,132.0,312.0,RAS,muscle,0.25469255663430423,1,1
s0307,autochthon_right,0,0.9064,0.8288,3167,384,270,3551,3437,ok,3551,124839.84,0,0.589,0.1199,0.3864,0.0977,0.2941,0.4297,483398.44,0.2583,1,1.0,1,0.1301,241.75,241.0,60.1,144.0,346.0,RAS,muscle,0.033168460867035204,0,1
s0307,colon,0,0.8694,0.769,4325,882,417,5207,4742,ok,5207,183058.59,0,0.5612,0.6808,0.2642,0.4492,0.7059,0.4648,5773359.5,0.0317,8,0.5456,1,0.0017,174.77,161.0,80.16,76.0,347.0,RAS,digestive,0.098059890341628,0,1
s0307,esophagus,0,0.8469,0.7345,130,34,13,164,143,ok,164,5765.62,0,0.499,0.5054,0.5799,0.0273,0.2353,0.0898,22640.62,0.2547,1,1.0,0,0.0,161.65,164.0,40.22,105.15,232.85,RAS,digestive,0.14685314685314685,1,1
s0307,femur_left,0,0.8101,0.6809,64,30,0,94,64,ok,94,3304.69,0,0.3817,0.525,0.0104,0.0703,0.1176,0.0273,8859.38,0.373,2,0.9681,1,0.2021,292.86,290.0,55.79,211.65,398.95,RAS,pelvic_bone,0.46875,1,1
s0307,femur_right,0,0.8537,0.7448,178,51,10,229,188,ok,229,8050.78,0,0.7213,0.5101,0.0142,0.0859,0.1765,0.0352,20882.81,0.3855,1,1.0,1,0.0349,224.15,227.0,68.94,92.0,315.6,RAS,pelvic_bone,0.21808510638297873,1,1
s0307,gallbladder,0,0.9127,0.8394,209,29,11,238,220,ok,238,8367.19,0,0.6378,0.8789,0.3977,0.043,0.1765,0.0703,20882.81,0.4007,1,1.0,1,0.2143,762.16,753.0,188.83,453.55,1045.6,RAS,solid_abdominal,0.08181818181818182,0,1
s0307,gluteus_maximus_left,0,0.795,0.6597,1363,390,313,1753,1676,ok,1753,61628.91,0,0.3397,0.3457,0.1048,0.1406,0.4118,0.1367,310078.12,0.1988,1,1.0,0,0.0,156.17,155.0,26.78,113.0,205.0,RAS,muscle,0.045942720763723154,0,1
s0307,gluteus_maximus_right,0,0.7771,0.6355,1358,546,233,1904,1591,ok,1904,66937.5,0,0.7808,0.3819,0.105,0.1406,0.4118,0.1406,318937.5,0.2099,1,1.0,0,0.0,116.6,116.0,26.44,80.0,164.0,RAS,muscle,0.19673161533626649,1,1
s0307,heart,0,0.9333,0.875,7937,971,163,8908,8100,ok,8908,313171.88,0,0.4593,0.6877,0.6405,0.2422,0.5294,0.168,843539.06,0.3713,1,1.0,1,0.0,132.68,111.0,102.47,23.0,307.0,RAS,heart,0.09975308641975308,0,1
s0307,hip_left,0,0.8848,0.7934,2162,476,87,2638,2249,ok,2638,92742.19,0,0.3934,0.383,0.1358,0.1992,0.6471,0.25,1262250.0,0.0735,2,0.9966,1,0.0034,222.82,227.0,49.92,142.0,296.0,RAS,pelvic_bone,0.17296576256113827,1,1
s0307,hip_right,0,0.9045,0.8257,2027,297,131,2324,2158,ok,2324,81703.12,0,0.6873,0.3632,0.1405,0.1367,0.5294,0.2422,686601.56,0.119,2,0.9996,1,0.0,234.33,239.0,41.43,160.0,294.0,RAS,pelvic_bone,0.07692307692307693,0,1
s0307,humerus_left,0,0.5422,0.3719,241,238,169,479,410,ok,479,16839.84,0,0.0609,0.2104,0.6618,0.1172,0.4706,0.543,1172812.5,0.0144,3,0.5574,1,0.0772,443.33,360.0,221.1,184.9,858.4,RAS,shoulder_bone,0.16829268292682928,1,1
s0307,humerus_right,0,0.8214,0.6969,361,142,15,503,376,ok,503,17683.59,0,0.916,0.4053,0.8529,0.0781,0.3529,0.207,223593.75,0.0791,1,1.0,0,0.0,181.26,175.0,57.02,96.1,286.6,RAS,shoulder_bone,0.3377659574468085,1,1
s0307,iliopsoas_left,0,0.9311,0.8711,2136,149,167,2285,2303,ok,2285,80332.03,0,0.4342,0.4485,0.2358,0.1328,0.4118,0.3789,811617.19,0.099,1,1.0,0,0.0,127.76,121.0,35.11,83.0,197.0,RAS,muscle,0.007815892314372557,0,1
s0307,iliopsoas_right,0,0.9069,0.8296,2245,226,235,2471,2480,ok,2471,86871.09,0,0.6548,0.443,0.2292,0.1836,0.4118,0.3672,1087242.25,0.0799,1,1.0,0,0.0,132.04,128.0,28.74,91.0,185.0,RAS,muscle,0.0036290322580645163,0,1
s0307,intervertebral_discs,0,0.8987,0.816,2705,428,182,3133,2887,ok,3133,110144.53,0,0.5319,0.3422,0.5039,0.1055,0.4118,0.75,1275750.0,0.0863,15,0.1229,0,0.0,115.8,100.0,58.21,48.0,234.0,RAS,vertebrae,0.08520956009698649,0,1
s0307,kidney_left,0,0.9045,0.8256,691,61,85,752,776,ok,752,26437.5,0,0.4161,0.3398,0.4468,0.1016,0.1765,0.0859,60328.12,0.4382,1,1.0,0,0.0,219.85,201.0,48.87,177.55,347.45,RAS,urinary,0.030927835051546393,0,1
s0307,liver,1,0.9564,0.9165,18798,594,1118,19392,19916,ok,19392,681750.0,0,0.6343,0.6946,0.4938,0.3555,0.7059,0.2305,2265047.0,0.301,1,1.0,1,0.0775,206.91,196.0,56.61,133.0,310.0,RAS,solid_abdominal,0.02631050411729263,0,0
s0307,lung_left,1,0.9711,0.9438,31831,795,1102,32626,32933,ok,32626,1147007.75,0,0.3907,0.4406,0.7411,0.2148,0.7647,0.4883,3142089.75,0.365,1,1.0,1,0.0,41.69,33.0,29.79,14.0,100.0,RAS,lung,0.0093219566999666,0,0
s0307,lung_right,1,0.9803,0.9613,48452,978,971,49430,49423,ok,49430,1737773.5,0,0.6498,0.4946,0.7273,0.2539,0.8824,0.5039,4421777.5,0.393,1,1.0,1,0.0006,37.12,31.0,24.01,14.0,81.0,RAS,lung,0.0001416344616878781,0,0
s0307,portal_vein_and_splenic_vein,0,0.9298,0.8689,106,15,1,121,107,ok,121,4253.91,0,0.5583,0.7059,0.4438,0.0586,0.0588,0.0547,7382.81,0.5762,1,1.0,0,0.0,214.02,163.0,114.07,126.0,484.0,RAS,great_vessel,0.1308411214953271,1,1
s0307,sacrum,0,0.8858,0.7949,2357,210,398,2567,2755,ok,2567,90246.09,0,0.5409,0.2772,0.1573,0.2148,0.3529,0.1328,394453.12,0.2288,2,0.9731,1,0.0,257.22,257.0,40.6,193.0,324.0,RAS,pelvic_bone,0.06823956442831217,0,1
s0307,small_bowel,0,0.7805,0.6401,2950,1064,595,4014,3545,ok,4014,141117.19,0,0.5212,0.7053,0.1779,0.375,0.4118,0.2578,1559250.0,0.0905,6,0.6054,1,0.0,184.05,179.0,51.89,103.0,279.0,RAS,digestive,0.13229901269393513,1,1
s0307,spinal_cord,0,0.9293,0.8679,2069,200,115,2269,2184,ok,2269,79769.53,0,0.5303,0.2246,0.55,0.0469,0.2941,0.7734,417656.25,0.191,1,1.0,1,0.0,420.41,412.0,108.06,259.0,603.6,RAS,neuro,0.03891941391941392,0,1
s0307,spleen,1,0.9559,0.9155,2632,145,98,2777,2730,ok,2777,97628.91,0,0.3481,0.5229,0.4875,0.1328,0.5294,0.1289,355007.81,0.275,1,1.0,1,0.0,204.68,205.0,20.52,172.0,238.2,RAS,solid_abdominal,0.017216117216117217,0,0
s0307,stomach,0,0.8894,0.8009,2759,373,313,3132,3072,ok,3132,110109.38,0,0.4603,0.7443,0.4527,0.2148,0.4118,0.2109,730898.44,0.1506,1,1.0,1,0.0,230.77,211.0,79.51,150.0,378.45,RAS,digestive,0.01953125,0,1
s0307,vertebrae,0,0.9312,0.8713,5916,314,560,6230,6476,ok,6230,219023.44,0,0.5317,0.3347,0.527,0.1055,0.4118,0.75,1275750.0,0.1717,15,0.1114,0,0.0,279.84,273.0,58.63,190.0,391.0,RAS,vertebrae,0.03798641136504015,0,1
s0007,adrenal_gland_left,0,0.8646,0.7614,383,111,9,494,392,ok,494,2918.65,0,0.4298,0.4508,0.5659,0.041,0.041,0.1071,7816.55,0.3734,1,1.0,0,0.0,13.77,14.0,2.58,10.0,18.0,RAS,urinary,0.2602040816326531,1,1
s0007,adrenal_gland_right,0,0.8842,0.7925,84,8,14,92,98,ok,92,543.55,0,0.5938,0.4617,0.6071,0.0312,0.0176,0.0357,850.78,0.6389,1,1.0,0,0.0,15.12,15.0,2.03,12.0,18.0,RAS,urinary,0.061224489795918366,0,1
s0007,aorta,0,0.9467,0.8988,6011,408,269,6419,6280,ok,6419,37924.76,0,0.4927,0.4034,0.735,0.0527,0.123,0.5357,150747.8,0.2516,1,1.0,1,0.0629,38.29,39.0,6.18,28.0,48.0,RAS,great_vessel,0.022133757961783438,0,1
s0007,autochthon_left,1,0.9693,0.9405,53589,2484,906,56073,54495,ok,56073,331290.69,0,0.4152,0.2551,0.4092,0.1465,0.1641,1.0,1042207.0,0.3179,1,1.0,1,0.0436,27.46,27.0,10.22,11.0,46.0,RAS,muscle,0.02895678502614919,0,0
s0007,autochthon_right,1,0.9665,0.9352,47142,1487,1782,48629,48924,ok,48629,287310.0,0,0.5805,0.251,0.4022,0.1465,0.1602,1.0,1017392.56,0.2824,1,1.0,1,0.046,26.78,26.0,9.95,10.0,45.0,RAS,muscle,0.006029760444771482,0,0
s0007,colon,0,0.9203,0.8524,45181,3248,4577,48429,49758,ok,48429,286128.38,0,0.5562,0.6718,0.1692,0.6191,0.2871,0.6429,4955694.5,0.0577,1,1.0,1,0.1157,23.43,21.0,13.93,4.0,51.0,RAS,digestive,0.026709272880742794,0,1
s0007,duodenum,0,0.8514,0.7412,4921,994,724,5915,5645,ok,5915,34947.02,0,0.5442,0.5376,0.2828,0.168,0.123,0.3214,288095.81,0.1213,1,1.0,0,0.0,15.43,15.0,5.31,8.0,26.0,RAS,digestive,0.047829937998228524,0,1
s0007,esophagus,0,0.8905,0.8027,777,149,42,926,819,ok,926,5471.0,0,0.482,0.4746,0.7711,0.0781,0.1426,0.25,120763.67,0.0453,2,0.96,1,0.04,11.29,11.0,2.04,8.0,15.0,RAS,digestive,0.13064713064713065,1,1
s0007,gallbladder,0,0.9102,0.8352,5392,711,353,6103,5745,ok,6103,36057.77,0,0.6823,0.6777,0.4083,0.0879,0.127,0.1786,86407.47,0.4173,1,1.0,0,0.0,25.93,25.0,5.42,19.0,35.0,RAS,solid_abdominal,0.06231505657093125,0,1
s0007,gluteus_medius_left,0,0.9302,0.8696,2080,266,46,2346,2126,ok,2346,13860.64,0,0.2683,0.3484,0.0129,0.1133,0.0957,0.0714,33582.23,0.4127,1,1.0,1,0.6377,12.77,13.0,2.47,8.0,17.0,RAS,muscle,0.10348071495766697,1,1
s0007,gluteus_medius_right,0,0.7491,0.5988,103,68,1,171,104,ok,171,1010.3,0,0.7057,0.337,0.0,0.0352,0.0273,0.0357,1488.87,0.6786,1,1.0,1,1.0,7.21,7.0,1.02,5.0,9.0,RAS,muscle,0.6442307692307693,1,1
s0007,heart,1,0.9731,0.9476,45160,1886,613,47046,45773,ok,47046,277957.31,0,0.4503,0.5379,0.9073,0.3047,0.2363,0.2143,669139.44,0.4154,1,1.0,1,0.2485,30.56,29.0,12.82,12.0,54.0,RAS,heart,0.027811155047735566,0,0
s0007,hip_left,0,0.7544,0.6057,702,256,201,958,903,ok,958,5660.06,0,0.2968,0.3742,0.0129,0.1367,0.084,0.0714,35567.38,0.1591,1,1.0,1,0.6388,8.52,9.0,2.31,5.0,12.0,RAS,pelvic_bone,0.06090808416389812,0,1
s0007,hip_right,0,0.8545,0.7459,455,81,74,536,529,ok,536,3166.8,0,0.6683,0.3345,0.0008,0.084,0.0781,0.0714,20324.22,0.1558,1,1.0,1,0.9776,6.84,7.0,1.92,4.0,10.0,RAS,pelvic_bone,0.013232514177693762,0,1
s0007,iliac_artery_left,0,0.8719,0.7729,194,44,13,238,207,ok,238,1406.15,0,0.477,0.4657,0.0255,0.0254,0.0273,0.1071,3225.88,0.4359,1,1.0,1,0.3908,14.94,15.0,4.17,8.0,21.15,RAS,great_vessel,0.1497584541062802,1,1
s0007,iliac_artery_right,0,0.7394,0.5865,61,19,24,80,85,ok,80,472.66,0,0.5038,0.4735,0.0339,0.0215,0.0195,0.0714,1299.8,0.3636,1,1.0,1,0.05,17.77,17.0,3.79,12.0,24.05,RAS,great_vessel,0.058823529411764705,0,1
s0007,iliac_vena_left,0,0.8242,0.701,68,19,10,87,78,ok,87,514.01,0,0.5043,0.4531,0.0,0.0293,0.0176,0.0357,797.61,0.6444,1,1.0,1,1.0,13.62,14.0,2.5,10.0,18.0,RAS,great_vessel,0.11538461538461539,1,1
s0007,iliac_vena_right,0,0.9237,0.8582,115,8,11,123,126,ok,123,726.71,0,0.5444,0.4475,0.0,0.0234,0.0273,0.0357,992.58,0.7321,1,1.0,1,1.0,15.08,15.0,2.42,11.0,19.0,RAS,great_vessel,0.023809523809523808,0,1
s0007,iliopsoas_left,0,0.9227,0.8565,10097,1515,177,11612,10274,ok,11612,68606.05,0,0.4172,0.3856,0.1874,0.1133,0.1445,0.5,355012.12,0.1932,1,1.0,1,0.0908,15.24,15.0,4.1,9.0,22.0,RAS,muscle,0.13023165271559276,1,1
s0007,iliopsoas_right,0,0.9228,0.8567,8720,1305,153,10025,8873,ok,10025,59229.73,0,0.6009,0.3754,0.1616,0.123,0.1426,0.5,380405.56,0.1557,1,1.0,1,0.1184,14.13,14.0,3.99,9.0,22.0,RAS,muscle,0.12983207483376535,1,1
s0007,inferior_vena_cava,0,0.7695,0.6253,3485,1202,886,4687,4371,ok,4687,27691.75,0,0.5516,0.4838,0.5726,0.0684,0.0918,0.8929,242974.86,0.114,3,0.7487,1,0.0,18.33,17.0,8.98,7.0,36.0,RAS,great_vessel,0.07229466941203386,0,1
s0007,intervertebral_discs,0,0.8907,0.803,13875,1936,1469,15811,15344,ok,15811,93414.6,0,0.51,0.3652,0.4525,0.1172,0.1875,0.9643,918843.75,0.1017,9,0.1946,1,0.0197,16.36,16.0,4.35,9.0,23.0,RAS,vertebrae,0.030435349322210637,0,1
s0007,kidney_left,0,0.9269,0.8637,12956,1220,825,14176,13781,ok,14176,83754.69,0,0.3466,0.4466,0.2804,0.1211,0.1641,0.4286,369239.06,0.2268,1,1.0,0,0.0,15.47,15.0,4.92,8.0,24.0,RAS,urinary,0.02866265147667078,0,1
s0007,kidney_right,0,0.9249,0.8603,17540,2009,839,19549,18379,ok,19549,115499.46,0,0.6832,0.4367,0.3413,0.125,0.1719,0.4643,432575.0,0.267,1,1.0,0,0.0,13.34,13.0,3.28,8.0,19.0,RAS,urinary,0.06365961151314,0,1
s0007,liver,1,0.9733,0.948,176161,5528,4135,181689,180296,ok,181689,1073455.5,0,0.6322,0.575,0.5995,0.3789,0.3926,0.6071,3916536.0,0.2741,1,1.0,0,0.0,30.71,29.0,10.51,17.0,50.0,RAS,solid_abdominal,0.0077261836091760214,0,0
