organ,n,median_vol_mL,radius_mm,tol_mm,spacing_mm,tol_voxels
gallbladder,30,22.24,17.44,0.581,1.5,0.388
clavicula_left,37,22.12,17.41,0.58,1.5,0.387
rib_left_7,40,21.28,17.19,0.573,1.5,0.382
rib_left_6,41,21.12,17.15,0.572,1.5,0.381
rib_right_7,39,20.9,17.09,0.57,1.5,0.38
rib_right_6,39,20.39,16.95,0.565,1.5,0.377
rib_right_8,39,19.76,16.77,0.559,1.5,0.373
rib_left_8,41,19.62,16.73,0.558,1.5,0.372
superior_vena_cava,39,19.14,16.59,0.553,1.5,0.369
vertebrae_C2,11,19.07,16.57,0.552,1.5,0.368
rib_right_5,37,18.51,16.41,0.547,1.5,0.365
rib_left_5,39,18.21,16.32,0.544,1.5,0.363
rib_right_9,39,18.03,16.27,0.542,1.5,0.361
rib_left_9,40,17.53,16.12,0.537,1.5,0.358
rib_right_4,36,16.49,15.79,0.526,1.5,0.351
vertebrae_C7,37,15.97,15.62,0.521,1.5,0.347
rib_left_4,39,15.47,15.46,0.515,1.5,0.344
iliac_artery_right,24,15.03,15.31,0.51,1.5,0.34
iliac_artery_left,24,14.82,15.24,0.508,1.5,0.339
rib_right_10,39,14.77,15.22,0.507,1.5,0.338
thyroid_gland,36,14.34,15.07,0.502,1.5,0.335
vertebrae_C1,11,14.33,15.07,0.502,1.5,0.335
rib_left_10,40,14.09,14.98,0.499,1.5,0.333
rib_left_3,38,13.79,14.88,0.496,1.5,0.331
vertebrae_C3,9,13.36,14.72,0.491,1.5,0.327
vertebrae_C4,11,13.01,14.59,0.486,1.5,0.324
brachiocephalic_vein_left,37,12.86,14.53,0.484,1.5,0.323
rib_right_3,38,12.84,14.53,0.484,1.5,0.323
rib_left_2,38,12.48,14.39,0.48,1.5,0.32
rib_right_2,38,12.28,14.31,0.477,1.5,0.318
rib_right_1,37,11.24,13.9,0.463,1.5,0.309
vertebrae_C5,17,10.32,13.51,0.45,1.5,0.3
rib_left_1,38,10.18,13.44,0.448,1.5,0.299
subclavian_artery_left,38,9.07,12.94,0.431,1.5,0.287
rib_right_11,39,8.5,12.66,0.422,1.5,0.281
vertebrae_C6,29,8.37,12.59,0.42,1.5,0.28
rib_left_11,39,8.24,12.53,0.418,1.5,0.278
subclavian_artery_right,37,7.96,12.39,0.413,1.5,0.275
brachiocephalic_trunk,37,5.79,11.14,0.371,1.5,0.248
brachiocephalic_vein_right,38,5.65,11.05,0.368,1.5,0.246
atrial_appendage_left,37,5.62,11.03,0.368,1.5,0.245
common_carotid_artery_left,38,5.17,10.73,0.358,1.5,0.238
adrenal_gland_left,36,4.64,10.35,0.345,1.5,0.23
adrenal_gland_right,36,4.12,9.95,0.332,1.5,0.221
common_carotid_artery_right,37,3.27,9.21,0.307,1.5,0.205
rib_left_12,36,3.11,9.06,0.302,1.5,0.201
rib_right_12,37,3.04,8.99,0.3,1.5,0.2
