organ,n,median_vol_mL,radius_mm,tol_mm,spacing_mm,tol_voxels
brachiocephalic_vein_left,74,12.05,14.22,0.474,1.5,0.316
vertebrae_C5,34,11.42,13.97,0.466,1.5,0.31
rib_left_2,76,11.2,13.88,0.463,1.5,0.308
rib_right_2,75,11.06,13.82,0.461,1.5,0.307
rib_right_1,73,10.29,13.49,0.45,1.5,0.3
rib_left_1,74,10.26,13.48,0.449,1.5,0.3
vertebrae_C6,52,10.24,13.47,0.449,1.5,0.299
subclavian_artery_left,74,8.58,12.7,0.423,1.5,0.282
rib_right_11,99,8.5,12.66,0.422,1.5,0.281
rib_left_11,99,8.41,12.61,0.42,1.5,0.28
subclavian_artery_right,73,7.84,12.33,0.411,1.5,0.274
atrial_appendage_left,73,6.17,11.38,0.379,1.5,0.253
brachiocephalic_vein_right,75,5.84,11.17,0.372,1.5,0.248
brachiocephalic_trunk,73,5.23,10.77,0.359,1.5,0.239
common_carotid_artery_left,74,5.03,10.63,0.354,1.5,0.236
adrenal_gland_left,94,4.15,9.97,0.332,1.5,0.222
adrenal_gland_right,93,3.81,9.69,0.323,1.5,0.215
rib_left_12,92,3.5,9.42,0.314,1.5,0.209
rib_right_12,93,3.25,9.19,0.306,1.5,0.204
common_carotid_artery_right,73,3.24,9.18,0.306,1.5,0.204
